ID,RELATION
0,CHARTER
1,EURST
2,EXTRA
3,IC 01
4,IC 02
5,IC 03
6,IC 03-1
7,IC 03-2
8,IC 04-1
9,IC 04-2
10,IC 05
11,IC 06-1
12,IC 06-2
13,IC 07
14,IC 08
15,IC 09
16,IC 10
17,IC 10-1
18,IC 10-2
19,IC 11
20,IC 12
21,IC 13
22,IC 14
23,IC 15
24,IC 16
25,IC 16-1
26,IC 16-2
27,IC 16-3
28,IC 17
29,IC 18
30,IC 19-1
31,IC 19-2
32,IC 20
33,IC 20-1
34,IC 20-2
35,IC 21
36,IC 22
37,IC 23-1
38,IC 23-2
39,IC 24
40,IC 25
41,IC 26
42,IC 27
43,IC 28
44,IC 29
45,IC 30
46,IC 31
47,IC 32
48,IC 33
49,IC 34
50,IC 35
51,IC 35-1
52,IC 35-2
53,IC 41
54,IC 42
55,IC/L
56,ICE
57,ICT
58,INT
59,IZY
60,L
61,L 01
62,L 02
63,L 03
64,L 04
65,L 05
66,L 05-1
67,L 05-2
68,L 06
69,L 06-1
70,L 06-2
71,L 07
72,L 08
73,L 09
74,L 0A
75,L 0B
76,L 0C
77,L 0D-1
78,L 0D-2
79,L 0E
80,L 0F
81,L 0G
82,L 0H
83,L 0I
84,L 0J
85,L 0K
86,L 0L
87,L 0M
88,L 0N
89,L 0O
90,L 0P
91,L 0Q
92,L 10
93,L 10-1
94,L 10-2
95,L 11
96,L 12
97,L 12-1
98,L 12-2
99,L 13
100,L 13-1
101,L 13-2
102,L 14
103,L 15
104,L 16
105,L 17
106,L 18
107,L 19
108,L 20
109,L 21
110,L 22
111,L 23
112,L 24
113,L 25
114,L 26
115,L 27
116,L 28
117,L 29
118,L 30
119,L 31
120,L 32
121,L 33
122,L 34
123,L 35
124,L 36
125,L 37-1
126,L 37-2
127,L 41
128,L 42
129,L 43
130,L A2
131,L A2-1
132,L A2-2
133,L A3
134,L A4
135,L A4-1
136,L A4-2
137,L A5
138,L B1-1
139,L B1-2
140,L B10-1
141,L B10-2
142,L B19
143,L B2-1
144,L B2-2
145,L B20-1
146,L B20-2
147,L B3
148,L B4
149,L B5-1
150,L B5-2
151,L B6
152,L B7
153,L B8-1
154,L B8-2
155,L B8-3
156,L B8-4
157,L B9
158,L C1
159,L C2-1
160,L C2-2
161,L C3
162,L C3-1
163,L C3-2
164,L C4
165,L G1
166,L G2
167,L G3
168,L L1
169,L L1-1
170,L L1-2
171,L L2
172,L L3
173,L L3-1
174,L L3-2
175,L L37-1
176,L L37-2
177,L L4
178,L S63-1
179,L S63-2
180,P
181,S1-1
182,S1-2
183,S10-1
184,S10-2
185,S10-3
186,S10-P
187,S2-1
188,S2-2
189,S20-1
190,S20-2
191,S3-1
192,S3-2
193,S3-3
194,S3-P
195,S4
196,S5-1
197,S5-2
198,S5-3
199,S6-1
200,S6-2
201,S6-3
202,S6-P
203,S7
204,S8-1
205,S8-2
206,S8-3
207,S8-4
208,S8-P
209,S81
210,S9
211,TGV
212,THAL
213,THAL 01
214,THAL 02
215,THAL 03
